FACILITYKE,BuildingNu,SHORTNAME,LONGNAME,Link,scanned_dr,page_name,site_plan_,latitude,longitude
415,415,,,,https://drawings.facilities.ucsb.edu/results.php?locnum=415,415-Building,https://drive.google.com/open?id=1FKbgL27pfYZ_2IDs-455RdYg-jSzmIhR,34.420124,-119.852108
434,434,,Building 434,https://drive.google.com/open?id=1S-ojK3jKgHbXfEQVA0VAdvROL5bfyRy8,https://drawings.facilities.ucsb.edu/results.php?locnum=434,434-Building 434,https://drive.google.com/open?id=1FUuZrAyfxAepRyQRhrKjrTpZ3TXal7SL,34.413348,-119.848442
437,437,,Facilities Management Building 437,https://drive.google.com/open?id=1S5g7eQpJUViv4VOqr5VIfMqptzagL19V,https://drawings.facilities.ucsb.edu/results.php?locnum=437,437-Facilities Management Building 437,https://drive.google.com/open?id=1FSxT_tcuiTYITPNbeDKKWyGwfvGiX4SK,34.420266,-119.852397
439,439,,Facilities Management Building 439,https://drive.google.com/open?id=1S9Z1jPZuM1NHQrNzjKdn5Ng9LPa4_Nf_,https://drawings.facilities.ucsb.edu/results.php?locnum=439,439-Facilities Management Building 439,https://drive.google.com/open?id=1FVAanRKdbV2DHMl6FzKTw2XzTeSc94Aa,34.420572,-119.852906
442,442,,Greenhouse 442,https://drive.google.com/open?id=1SEMZRL3GffUUklsljDGXx8qTiR13RfJp,https://drawings.facilities.ucsb.edu/results.php?locnum=442,442-Greenhouse 442,https://drive.google.com/open?id=1FWVmVG-f22apwOnuHFkO4kkXKKuB75Jf,34.413115,-119.843551
443,443,,Greenhouse 443,https://drive.google.com/open?id=1SH_J8ZOaoz0M7r94ANNyJw0XeRB-_7yA,https://drawings.facilities.ucsb.edu/results.php?locnum=443,443-Greenhouse 443,https://drive.google.com/open?id=1FZQDzwcChl2N-KXFjFieomO0nyG900QQ,34.413114,-119.843134
451,451,,Building 451,https://drive.google.com/open?id=1SLW-xW9ydIT-uM1RcTXtJpwaA5-GixPR,https://drawings.facilities.ucsb.edu/results.php?locnum=451,451-Building 451,https://drive.google.com/open?id=1Fbahv0iRiJ7NJNWPnB0470Wy5Sml0bcb,34.416819,-119.843654
465,465,,Aquarium Facility,https://drive.google.com/open?id=1STjv-IX0g7w1Py9lzmG3z4kxNny4ytJb,https://drawings.facilities.ucsb.edu/results.php?locnum=465,465-Aquarium Facility,https://drive.google.com/open?id=1F__cXSEkD4r6Ui-6FW7TwJDToqFr1Hjr,34.407648,-119.843479
477,477,,Building 477,https://drive.google.com/open?id=1Sah8CLGYxQXI8QJQgpANErg_VJ_zF8Um,https://drawings.facilities.ucsb.edu/results.php?locnum=477,477-Building 477,https://drive.google.com/open?id=1FelNs8gOP661RyVywrocCtcOyxKQ5xUi,34.413649,-119.848489
479,479,,Old Gym and Pool,https://drive.google.com/open?id=1SbstbzabakrWbwsd7Xy7UWl-4WJG4tva,https://drawings.facilities.ucsb.edu/results.php?locnum=479,479-Old Gym and Pool,https://drive.google.com/open?id=1FfG8xSvIas2282NPTUwGAj2KaSM4mz9Z,34.414563,-119.848172
489,489,,Building 489,https://drive.google.com/open?id=1Sh6osy7faYdH7b6_xY2gUEQwIki7yYIU,https://drawings.facilities.ucsb.edu/results.php?locnum=489,489-Building 489,https://drive.google.com/open?id=1FhWFBTwcG8CjjkMFmNFC5jhDYxkGN_X9,34.416334,-119.843039
494,494,,Creative Studies,https://drive.google.com/open?id=1SqjjaJOL8SoX9vXcGMWw0oDj2WtZl4DV,https://drawings.facilities.ucsb.edu/results.php?locnum=494,494-Creative Studies,https://drive.google.com/open?id=1Flw58hQNgdt6jcXg1wTtpbsmIrntssr-,34.411099,-119.845837
500,500,,,,https://drawings.facilities.ucsb.edu/results.php?locnum=500,500-Building,https://drive.google.com/open?id=1FrCKemPNeGkTHV9rg8cVIxs0pep7YeFI,34.420734,-119.853212
501,501,,Arbor Convenience Store,https://drive.google.com/open?id=1Su3i2senN-mDCI5-FZcpsr2SBF6egoFe,https://drawings.facilities.ucsb.edu/results.php?locnum=501,501-Arbor Convenience Store,https://drive.google.com/open?id=1FoGlcM37h4Va_U5VGWY1RRp29OQ55EZm,34.414147,-119.846534
502,502,,Beach Pump,https://drive.google.com/open?id=1SuYg1YBRdVE3J3b9Cd_6NmD2a88B9Syz,https://drawings.facilities.ucsb.edu/results.php?locnum=502,502-Beach Pump,https://drive.google.com/open?id=1Fu-PWtTLxjhfYdez4eAMjuvcsZTgzOVR,34.406701,-119.843715
503,503,,Engineering II,https://drive.google.com/open?id=1SwEdW5vwCLfSjXKhCJW3J4t2fDOoXyED,https://drawings.facilities.ucsb.edu/results.php?locnum=503,503-Engineering II,https://drive.google.com/open?id=1FvpuI4L0UjsIjVsBrkshmeN-sAkXdbKB,34.414869,-119.841417
